oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon,age_breakets
142.906245570355,0.586988849155797,1,credibility,rh,2,1,36-45
63.967520498472,0.444203243091926,1,credibility,lc,2,1,46-55
126.57517538062,0.437958760101873,1,credibility,apc,2,1,46-55
189.835658962469,0.43193686742752,1,credibility,rh,2,1,46-55
74.5096502937788,0.227477348922113,1,credibility,lc,2,1,56-65
147.462017412409,0.229463831356622,1,credibility,apc,2,1,56-65
220.511074951297,0.226867017253363,1,credibility,rh,2,1,56-65
100.342572458147,0.246547613442616,1,credibility,lc,2,1,66-75
194.048883200437,0.24547357711557,1,credibility,apc,2,1,66-75
289.923607818776,0.243772018919524,1,credibility,rh,2,1,66-75
108.359241146794,0.127513992232411,1,credibility,lc,2,1,76-85
217.594235037923,0.12425470707329,1,credibility,apc,2,1,76-85
324.610142250408,0.12306133913045,1,credibility,rh,2,1,76-85
31.2898281882173,0.413572321324225,1,full_mle,lc,2,1,16-25
60.9783239512211,0.38799620849438,1,full_mle,apc,2,1,16-25
92.9203750948969,0.402616517674263,1,full_mle,rh,2,1,16-25
35.6508117794481,0.311932012301845,1,full_mle,lc,2,1,26-35
70.7196652787043,0.309734814032578,1,full_mle,apc,2,1,26-35
107.014894267054,0.313971165817919,1,full_mle,rh,2,1,26-35
48.3737272995568,0.49866888545689,1,full_mle,lc,2,1,36-45
95.7714690394841,0.475872457119782,1,full_mle,apc,2,1,36-45
143.124800993365,0.470365414007537,1,full_mle,rh,2,1,36-45
62.4985532817643,0.352888882268016,1,full_mle,lc,2,1,46-55
123.53286801171,0.347290043344941,1,full_mle,apc,2,1,46-55
185.220546649605,0.340960760748065,1,full_mle,rh,2,1,46-55
73.3155157358413,0.221583034944448,1,full_mle,lc,2,1,56-65
145.201865477848,0.220345552538218,1,full_mle,apc,2,1,56-65
217.104833204276,0.216533644005231,1,full_mle,rh,2,1,56-65
97.162431852674,0.249827583977151,1,full_mle,lc,2,1,66-75
189.435949995744,0.251270166133964,1,full_mle,apc,2,1,66-75
282.882518662784,0.249769501967188,1,full_mle,rh,2,1,66-75
109.364376308336,0.134375544625599,1,full_mle,lc,2,1,76-85
217.400073209588,0.128873157424184,1,full_mle,apc,2,1,76-85
323.824643920608,0.127026993854416,1,full_mle,rh,2,1,76-85
31.4527947901465,0.428131318730635,1,separate,lc,2,1,16-25
68.8320377690939,0.424243845921614,1,separate,apc,2,1,16-25
100.275780121922,0.421095887022103,1,separate,rh,2,1,16-25
37.1524776899639,0.350386113031632,1,separate,lc,2,1,26-35
72.8698177890602,0.348845393808835,1,separate,apc,2,1,26-35
