oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon,scenario
530.797862342864,0.119943744117635,1,credibility,apc,5,8,1
790.308332860698,0.118316602820104,1,credibility,rh,5,8,1
245.734498635994,0.107791933166202,1,separate,lc,5,8,1
536.553629674642,0.119096232480222,1,separate,apc,5,8,1
854.479234109166,0.161567049408365,1,separate,rh,5,8,1
371.397324624673,0.287915922934158,1,total,lc,6,8,1
748.70220249566,0.284033137226975,1,total,apc,6,8,1
1129.80149001003,0.285504481173031,1,total,rh,6,8,1
280.705714747624,0.124461862539236,1,credibility,lc,6,8,1
565.549937722922,0.122284136321975,1,credibility,apc,6,8,1
855.067474243596,0.123500815835326,1,credibility,rh,6,8,1
302.593944963425,0.212831471276685,1,separate,lc,6,8,1
642.321902924623,0.197778365179483,1,separate,apc,6,8,1
1023.90776785441,0.241067682569745,1,separate,rh,6,8,1
