oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon
336.357656165954,0.1412149649446,1,credibility,lc,4,8
583.336207980708,0.117632514188877,1,credibility,apc,4,8
834.877905455544,0.111100362319467,1,credibility,rh,4,8
251.733357582468,0.111459158983758,1,separate,lc,4,8
519.201333205501,0.116020651290496,1,separate,apc,4,8
807.049930898617,0.127219624655072,1,separate,rh,4,8
411.189373249428,0.188956278699669,1,total,lc,5,8
790.548689713969,0.184137220590096,1,total,apc,5,8
1167.99149751261,0.180771318036848,1,total,rh,5,8
285.606101328917,0.131304643361886,1,credibility,lc,5,8
530.213836128023,0.121857775746176,1,credibility,apc,5,8
779.333501779768,0.118236710740915,1,credibility,rh,5,8
233.245757400956,0.111366514269107,1,separate,lc,5,8
496.422426245645,0.123779998804155,1,separate,apc,5,8
801.244358919529,0.14281226821245,1,separate,rh,5,8
403.451239625769,0.212879549340208,1,total,lc,6,8
806.78237445738,0.213996527956733,1,total,apc,6,8
1195.5434268534,0.210833965961096,1,total,rh,6,8
272.853048019242,0.135067550053427,1,credibility,lc,6,8
536.099816405731,0.134408140502678,1,credibility,apc,6,8
789.601943713057,0.131778212747163,1,credibility,rh,6,8
241.87026701734,0.118660497613266,1,separate,lc,6,8
522.936597116605,0.130878716031041,1,separate,apc,6,8
1081.8864362856,0.168114589308633,1,separate,rh,6,8
